country_iso_3,state_code,state_name,county_name,city_name,category,pest_name,starts_at,ends_at,source_url,reason,is_active,data_source,confidence,raw_organism,scraped_at
USA,AK,Alaska,,,trees,Asian Longhorned Beetle,,,https://www.aphis.usda.gov/plant-pests-diseases/alb,USDA APHIS Asian Longhorned Beetle — state mentioned in program page,true,USDA_APHIS,LOW,Asian Longhorned Beetle,2026-04-05T06:52:51.824Z
USA,AK,Alaska,,,citrus,Citrus Diseases,,,https://www.aphis.usda.gov/plant-pests-diseases/citrus-diseases,USDA APHIS Citrus Diseases — state mentioned in program page,true,USDA_APHIS,LOW,Citrus Diseases,2026-04-05T06:52:51.824Z
USA,AK,Alaska,,,ALL,Fruit Flies,,,https://www.aphis.usda.gov/plant-pests-diseases/fruit-flies,USDA APHIS Fruit Flies — state mentioned in program page,true,USDA_APHIS,LOW,Fruit Flies,2026-04-05T06:52:51.824Z
USA,AK,Alaska,,,plants,Imported Fire Ant,,,https://www.aphis.usda.gov/plant-pests-diseases/ifa,USDA APHIS Imported Fire Ant — state mentioned in program page,true,USDA_APHIS,LOW,Imported Fire Ant,2026-04-05T06:52:51.824Z
USA,AL,Alabama,,,trees,Asian Longhorned Beetle,,,https://www.aphis.usda.gov/plant-pests-diseases/alb,USDA APHIS Asian Longhorned Beetle — state mentioned in program page,true,USDA_APHIS,LOW,Asian Longhorned Beetle,2026-04-05T06:52:51.824Z
USA,AL,Alabama,,,citrus,Citrus Diseases,,,https://www.aphis.usda.gov/plant-pests-diseases/citrus-diseases,USDA APHIS Citrus Diseases — state mentioned in program page,true,USDA_APHIS,LOW,Citrus Diseases,2026-04-05T06:52:51.824Z
USA,AL,Alabama,,,ALL,Fruit Flies,,,https://www.aphis.usda.gov/plant-pests-diseases/fruit-flies,USDA APHIS Fruit Flies — state mentioned in program page,true,USDA_APHIS,LOW,Fruit Flies,2026-04-05T06:52:51.824Z
USA,AL,Alabama,,,plants,Imported Fire Ant,,,https://www.aphis.usda.gov/plant-pests-diseases/ifa,USDA APHIS Imported Fire Ant — state mentioned in program page,true,USDA_APHIS,LOW,Imported Fire Ant,2026-04-05T06:52:51.824Z
USA,AR,Arkansas,,,trees,Asian Longhorned Beetle,,,https://www.aphis.usda.gov/plant-pests-diseases/alb,USDA APHIS Asian Longhorned Beetle — state mentioned in program page,true,USDA_APHIS,LOW,Asian Longhorned Beetle,2026-04-05T06:52:51.824Z
USA,AR,Arkansas,,,citrus,Citrus Diseases,,,https://www.aphis.usda.gov/plant-pests-diseases/citrus-diseases,USDA APHIS Citrus Diseases — state mentioned in program page,true,USDA_APHIS,LOW,Citrus Diseases,2026-04-05T06:52:51.824Z
USA,AR,Arkansas,,,ALL,Fruit Flies,,,https://www.aphis.usda.gov/plant-pests-diseases/fruit-flies,USDA APHIS Fruit Flies — state mentioned in program page,true,USDA_APHIS,LOW,Fruit Flies,2026-04-05T06:52:51.824Z
USA,AR,Arkansas,,,plants,Imported Fire Ant,,,https://www.aphis.usda.gov/plant-pests-diseases/ifa,USDA APHIS Imported Fire Ant — state mentioned in program page,true,USDA_APHIS,LOW,Imported Fire Ant,2026-04-05T06:52:51.824Z
USA,AZ,Arizona,,,trees,Asian Longhorned Beetle,,,https://www.aphis.usda.gov/plant-pests-diseases/alb,USDA APHIS Asian Longhorned Beetle — state mentioned in program page,true,USDA_APHIS,LOW,Asian Longhorned Beetle,2026-04-05T06:52:51.824Z
USA,AZ,Arizona,,,citrus,Citrus Diseases,,,https://www.aphis.usda.gov/plant-pests-diseases/citrus-diseases,USDA APHIS Citrus Diseases — state mentioned in program page,true,USDA_APHIS,LOW,Citrus Diseases,2026-04-05T06:52:51.824Z
USA,AZ,Arizona,,,ALL,Fruit Flies,,,https://www.aphis.usda.gov/plant-pests-diseases/fruit-flies,USDA APHIS Fruit Flies — state mentioned in program page,true,USDA_APHIS,LOW,Fruit Flies,2026-04-05T06:52:51.824Z
USA,AZ,Arizona,,,plants,Imported Fire Ant,,,https://www.aphis.usda.gov/plant-pests-diseases/ifa,USDA APHIS Imported Fire Ant — state mentioned in program page,true,USDA_APHIS,LOW,Imported Fire Ant,2026-04-05T06:52:51.824Z
USA,CA,California,,,trees,Asian Longhorned Beetle,,,https://www.aphis.usda.gov/plant-pests-diseases/alb,USDA APHIS Asian Longhorned Beetle — state mentioned in program page,true,USDA_APHIS,LOW,Asian Longhorned Beetle,2026-04-05T06:52:51.824Z
USA,CA,California,,,citrus,Citrus Diseases,,,https://www.aphis.usda.gov/plant-pests-diseases/citrus-diseases,USDA APHIS Citrus Diseases — state mentioned in program page,true,USDA_APHIS,LOW,Citrus Diseases,2026-04-05T06:52:51.824Z
USA,CA,California,,,ALL,Fruit Flies,,,https://www.aphis.usda.gov/plant-pests-diseases/fruit-flies,USDA APHIS Fruit Flies — state mentioned in program page,true,USDA_APHIS,LOW,Fruit Flies,2026-04-05T06:52:51.824Z
USA,CA,California,,,plants,Imported Fire Ant,,,https://www.aphis.usda.gov/plant-pests-diseases/ifa,USDA APHIS Imported Fire Ant — state mentioned in program page,true,USDA_APHIS,LOW,Imported Fire Ant,2026-04-05T06:52:51.824Z
USA,CA,California,,,grains,Karnal Bunt,,,https://www.aphis.usda.gov/plant-pests-diseases/karnal-bunt,USDA APHIS Karnal Bunt quarantine,true,USDA_APHIS,MEDIUM,Karnal Bunt,2026-04-05T06:52:51.824Z
USA,CA,California,,,produce,Light Brown Apple Moth,2018-08-20,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — 2018 LBAM LA - Malibu,true,CDFA_ARCGIS,HIGH,Light Brown Apple Moth,2026-04-05T06:52:51.824Z
USA,CA,California,Fresno,,plants,Curly Top Virus,1998-12-05,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — 1998 Fresno County,true,CDFA_ARCGIS,HIGH,Curly Top Virus,2026-04-05T06:52:51.824Z
USA,CA,California,Imperial,,citrus,Sweet orange scab,2023-09-30,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — SOS Imperial Calipatria,true,CDFA_ARCGIS,HIGH,Sweet orange scab,2026-04-05T06:52:51.824Z
USA,CA,California,Kern,,plants,Curly Top Virus,1998-12-05,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — 1998 Kern County,true,CDFA_ARCGIS,HIGH,Curly Top Virus,2026-04-05T06:52:51.824Z
USA,CA,California,Los Angeles,,produce,Caribbean fruit fly,2025-10-02,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — 2025 CaribbeanFF Los Angeles County - Los Angeles,true,CDFA_ARCGIS,HIGH,Caribbean fruit fly,2026-04-05T06:52:51.824Z
USA,CA,California,Los Angeles,,citrus,Citrus Yellow Vein Clearing Virus,2025-10-01,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — CYVCV - Los Angeles - Hacienda Heights,true,CDFA_ARCGIS,HIGH,CYVCV,2026-04-05T06:52:51.824Z
USA,CA,California,Los Angeles,,plants,Curly Top Virus,1998-12-05,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — 1998 CTV Los Angeles,true,CDFA_ARCGIS,HIGH,Curly Top Virus,2026-04-05T06:52:51.824Z
USA,CA,California,Los Angeles,,citrus,Sweet orange scab,2023-09-30,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — SOS Los Angeles San Bernardino Pomona,true,CDFA_ARCGIS,HIGH,Sweet orange scab,2026-04-05T06:52:51.824Z
USA,CA,California,Marin,,produce,Light Brown Apple Moth,2019-05-16,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — 2019 LBAM Marin - Tomales,true,CDFA_ARCGIS,HIGH,Light Brown Apple Moth,2026-04-05T06:52:51.824Z
USA,CA,California,Mendocino,,produce,Light Brown Apple Moth,2017-09-05,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — 2015 LBAM Mendocino - Fort Bragg,true,CDFA_ARCGIS,HIGH,Light Brown Apple Moth,2026-04-05T06:52:51.824Z
USA,CA,California,Orange,,citrus,Huanglongbing (Citrus Greening),2026-03-06,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — HLB - LA/Orange/San Bernardino/San Diego/Riverside,true,CDFA_ARCGIS,HIGH,HLB,2026-04-05T06:52:51.824Z
USA,CA,California,Orange,,produce,Light Brown Apple Moth,2018-05-23,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — 2018 LBAM Orange - Irvine,true,CDFA_ARCGIS,HIGH,Light Brown Apple Moth,2026-04-05T06:52:51.824Z
USA,CA,California,Orange,,citrus,Sweet orange scab,2026-04-03,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,"CDFA quarantine — SOS Orange, Santa Ana, Tustin, Villa Park, Irvine",true,CDFA_ARCGIS,HIGH,Sweet orange scab,2026-04-05T06:52:51.824Z
USA,CA,California,Riverside,,plants,Curly Top Virus,1998-12-05,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — 1998 CTV Riverside County,true,CDFA_ARCGIS,HIGH,Curly Top Virus,2026-04-05T06:52:51.824Z
USA,CA,California,Riverside,,citrus,Sweet orange scab,2023-09-30,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — SOS Riverside Blythe,true,CDFA_ARCGIS,HIGH,Sweet orange scab,2026-04-05T06:52:51.824Z
USA,CA,California,Sacramento,,produce,Light Brown Apple Moth,2011-08-13,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — 2011 LBAM Sacramento - Sacramento Foothill Farms,true,CDFA_ARCGIS,HIGH,Light Brown Apple Moth,2026-04-05T06:52:51.824Z
USA,CA,California,San Bernardino,,plants,Curly Top Virus,1998-12-05,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — 1998 CTV San Bernardino County,true,CDFA_ARCGIS,HIGH,Curly Top Virus,2026-04-05T06:52:51.824Z
USA,CA,California,San Diego,,plants,Curly Top Virus,1998-12-05,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — 1998 CTV San Diego,true,CDFA_ARCGIS,HIGH,Curly Top Virus,2026-04-05T06:52:51.824Z
USA,CA,California,San Diego,,citrus,Huanglongbing (Citrus Greening),2023-02-17,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — HLB - San Diego - San Diego,true,CDFA_ARCGIS,HIGH,HLB,2026-04-05T06:52:51.824Z
USA,CA,California,San Diego,,produce,Light Brown Apple Moth,2018-04-15,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — 2018 San Diego - Carlsbad,true,CDFA_ARCGIS,HIGH,Light Brown Apple Moth,2026-04-05T06:52:51.824Z
USA,CA,California,San Diego,,produce,Mexican fruit fly,2026-04-02,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — 2026 Mexfly San Diego County - La Mesa,true,CDFA_ARCGIS,HIGH,Mexican fruit fly,2026-04-05T06:52:51.824Z
USA,CA,California,San Joaquin,,produce,Light Brown Apple Moth,2018-10-03,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — 2018 LBAM San Joaquin - Stockton,true,CDFA_ARCGIS,HIGH,Light Brown Apple Moth,2026-04-05T06:52:51.824Z
USA,CA,California,San Luis Obispo,,produce,Light Brown Apple Moth,2017-08-17,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — 2013 LBAM San Luis Obispo - Cambria,true,CDFA_ARCGIS,HIGH,Light Brown Apple Moth,2026-04-05T06:52:51.824Z
USA,CA,California,Santa Barbara,,plants,Curly Top Virus,1998-12-05,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — 1998 CTV Santa Barbara,true,CDFA_ARCGIS,HIGH,Curly Top Virus,2026-04-05T06:52:51.824Z
USA,CA,California,Santa Barbara,,produce,Light Brown Apple Moth,2017-06-29,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — 2015 LBAM Santa Barbara - Lompoc,true,CDFA_ARCGIS,HIGH,Light Brown Apple Moth,2026-04-05T06:52:51.824Z
USA,CA,California,Santa Clara,,produce,Mediterranean fruit fly,2026-01-01,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — 2025 Medfly Santa Clara County - San Jose,true,CDFA_ARCGIS,HIGH,Mediterranean fruit fly,2026-04-05T06:52:51.824Z
USA,CA,California,Sonoma,,produce,Light Brown Apple Moth,2013-12-29,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — 2010 LBAM Sonoma - Kenwood,true,CDFA_ARCGIS,HIGH,Light Brown Apple Moth,2026-04-05T06:52:51.824Z
USA,CA,California,Tulare,,citrus,Citrus Yellow Vein Clearing Virus,2025-10-01,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — CYVCV - Tulare - Visalia,true,CDFA_ARCGIS,HIGH,CYVCV,2026-04-05T06:52:51.824Z
USA,CA,California,Tulare,,plants,Curly Top Virus,1998-12-05,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — 1998 Tulare County,true,CDFA_ARCGIS,HIGH,Curly Top Virus,2026-04-05T06:52:51.824Z
USA,CA,California,Ventura,,citrus,Huanglongbing (Citrus Greening),2024-08-23,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — HLB - Ventura - Santa Paula,true,CDFA_ARCGIS,HIGH,HLB,2026-04-05T06:52:51.824Z
USA,CA,California,Ventura,,produce,Light Brown Apple Moth,2016-10-05,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — 2016 LBAM Ventura - Ventura North,true,CDFA_ARCGIS,HIGH,Light Brown Apple Moth,2026-04-05T06:52:51.824Z
USA,CA,California,Yolo,,produce,Light Brown Apple Moth,2015-01-13,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — 2015 LBAM Yolo - Davis,true,CDFA_ARCGIS,HIGH,Light Brown Apple Moth,2026-04-05T06:52:51.824Z
USA,CO,Colorado,,,trees,Asian Longhorned Beetle,,,https://www.aphis.usda.gov/plant-pests-diseases/alb,USDA APHIS Asian Longhorned Beetle — state mentioned in program page,true,USDA_APHIS,LOW,Asian Longhorned Beetle,2026-04-05T06:52:51.824Z
USA,CO,Colorado,,,citrus,Citrus Diseases,,,https://www.aphis.usda.gov/plant-pests-diseases/citrus-diseases,USDA APHIS Citrus Diseases — state mentioned in program page,true,USDA_APHIS,LOW,Citrus Diseases,2026-04-05T06:52:51.824Z
USA,CO,Colorado,,,ALL,Fruit Flies,,,https://www.aphis.usda.gov/plant-pests-diseases/fruit-flies,USDA APHIS Fruit Flies — state mentioned in program page,true,USDA_APHIS,LOW,Fruit Flies,2026-04-05T06:52:51.824Z
USA,CO,Colorado,,,plants,Imported Fire Ant,,,https://www.aphis.usda.gov/plant-pests-diseases/ifa,USDA APHIS Imported Fire Ant — state mentioned in program page,true,USDA_APHIS,LOW,Imported Fire Ant,2026-04-05T06:52:51.824Z
USA,CT,Connecticut,,,trees,Asian Longhorned Beetle,,,https://www.aphis.usda.gov/plant-pests-diseases/alb,USDA APHIS Asian Longhorned Beetle — state mentioned in program page,true,USDA_APHIS,LOW,Asian Longhorned Beetle,2026-04-05T06:52:51.824Z
